노래제목,가수,가사,요약,카테고리,
서울의 달,김건모,"오늘 밤 바라본 저 달이 너무 처량해
너도 나처럼 외로운
텅 빈 가슴 안고 사는구나
텅 빈 방 안에 누워
이 생각 저런 생각에
기나긴 한숨 담배연기
또 하루가 지나고
하나 되는 게 없고
사랑도 떠나가 버리고
술잔에 비친 저 하늘에 달과
한잔 주거니 받거니 이 밤이 가는구나
오늘 밤 바라본
저 달이 너무 처량해
너도 나처럼 외로운
텅 빈 가슴 안고 사는구나
따뚜 뚜두 따뚜뚜 따뚜루 두비
가끔 비가 내리면
구름에 니 모습이 가려
어두운 거리 더 쓸쓸해지네
텅 빈 이 거리 오늘도 혼자서 걸어가네
오늘 밤 바라본
저 달이 너무 처량해
너도 나처럼 외로운
텅 빈 가슴 안고 사는구나
오늘 밤 바라본
저 달이 너무 처량해
너도 나처럼 외로운
텅 빈 가슴 안고 사는구나
슬픈 추억 안고 사는구나
텅 빈 가슴 안고",번화한 서울의 밤 풍경과 그 안에서 느끼는 쓸쓸함과 외로움을 표현,감정,개인
잊혀진 계절,이용,"지금도 기억하고 있어요
10월의 마지막 밤을
뜻모를 이야기만 남긴 채
우리는 헤어졌지요
그날의 쓸쓸했던 표정이
그대의 진실인가요
한마디 변명도 못하고
잊혀져야 하는 건가요
언제나 돌아오는 계절은
나에게 꿈을 주지만
이룰 수 없는 꿈은 슬퍼요
나를 울려요
그날의 쓸쓸했던 표정이
그대의 진실인가요
한마디 변명도 못하고
잊혀져야 하는 건가요
언제나 돌아오는 계절은
나에게 꿈을 주지만
이룰 수 없는 꿈은 슬퍼요
나를 울려요",과거의 추억과 한국의 옛 모습을 회상하는 노래,감정,개인
나침반,골든차일드,"울고 있어 넌 왜 어딜 보는 건데
길을 잃어 헤매
너 혼자 왜 불안해하니
지금 이 길 끝에
가리워진 빛을 따라서
미처 어둠 속에
놓쳐버린 너를 찾아가 Oh
한 걸음씩 가다 보면
만나게 될 거야
세상 어딘가 헤매인다 해도
Don’t stop it now
끝이 없이 펼쳐지는 저 수평선 너머
닫혀버린 니 마음에 환한 빛이 되어
어둠을 몰아낼 거니까
겁내지마 또 넘어져도 괜찮아
힘이 들 땐 좀 쉬어가도 괜찮아
언제나 바라고 바라던 순간
손안에 쥐게 될 거야
이 길에 끝을 알 수 없지만
가끔 솔직해져도 돼
아직 출발선에 서 있어
늦은 건 아닌걸
흔들리는 맘에
두려움에 떨리지 않게
원 안에 바늘처럼
늘 가리켜줄게 Always
한 걸음씩 가다 보면
만나게 될 거야
세상 어딘가 헤매인다 해도
Don’t stop it now
끝이 없이 펼쳐지는 저 수평선 너머
둘만의 장소로 갈래
겁내지마 또 넘어져도 괜찮아
힘이 들 땐 좀 쉬어가도 괜찮아
언제나 바라고 바라던 순간
손안에 쥐게 될 거야
이 길에 끝을 알 수 없지만
시간이 흘러가도 언제나 널 가리켜
걱정하지마 나를 믿으면 돼
꿈을 향해 찾을 거야
멈출 수는 없어
Yeah ok
걱정하지 말고 날 따라와 줘
물론 무섭겠지만
우리가 가는 길에 끝을
이젠 알 수 있게 될 거야
그 끝의 결과는 몰라도
우리 함께하는
장면만은 틀림없으니
만들어가 Make it right
Love ya
겁내지마 또 넘어져도 괜찮아
힘이 들 땐 좀 쉬어가도 괜찮아
언제나 바라고 바라던 순간
손안에 쥐게 될 거야
이 길에 끝을 알 수 없지만
그 어떤 길이라도 두려워하지 말고
내가 옆에 있을게
늘 니 곁에","어둠 속에서 헤매고 불안해하는 너를 찾아가며, 언제나 네 곁에 머물러주고 싶어하는 마음을 담은 노래",감정,개인
Simple is the best,정은지,"오래된 마음이 점점 무거워져서
바쁜 걸음 멈춰 서서 한숨을 쉴 때
알 수 없는 내 마음이
다시 길을 찾기를
가끔 새로 산 옷에 얼룩이 있을 때
맑은 물에 씻어 다시 말려주듯이
속상했던 그런 맘들도 새하얘지기를
좋아하는 사람과 함께 있을 때도
쏟아지는 걱정에 어두워질 때면
아무 말 하지 않고서 꽉 안아주기를
모든 게 참 어려운걸요
조금 쉬울 순 없나요
그중에서도 내 맘이 제일 어려운걸요
기다려줄래요
파스텔 연한 색을 좀 더 진하게
좋아하는 그림들로 맘을 채우고
어려운 말들은 좀 더 쉽게
I know The Simple is the best
모든 게 참 어려운걸요
조금 쉬울 순 없나요
내 맘이 사라지는 생각은 놓아줄래요
이제는 날 꺼내 볼래요
파스텔 연한 색을 좀 더 진하게
좋아하는 그림들로 맘을 채우고
어려운 말들은 좀 더 쉽게
I know The Simple is the best
서투른 진심에 웃음 짓기를
사소한 감동들이 더 커져가기를
사랑하는 모든 사람에게
You know The Simple is the best","마음이 무거워질 때, 간단하고 순수한 순간들을 통해 위로를 찾고, 어려운 것들을 더 쉽게 이해하고자 하는 노래",감정,개인
힐링,세븐틴,"지친 하루 끝에
수고했단 작은 그 한마딘
훗날에 기억될 오늘의 그림 같은
지금의 추억이 될 거예요
낮부터 밤까지
한시도 마음 놓고 쉴 수 없어
이 놈의 폰도 나를 부르는 게
하나도 반갑지 않아
I wanna runaway 날 찾지마
따분함을 느껴보고 싶어
꼭 바쁘게 살아야 하나 싶어
숨기엔 보는 눈이 많아서
눈치만 보다 하루가 다 갔어
언제나 늘 돌고 도는 하루 속에
Ooh ooh ooh ooh ooh
무뎌짐을 느끼고만 있다면
식어버린 내 마음에 새로운 계절이
와 줬으면 해 생각은 접고
매일 날 위해서 웃을 수 있게
잠시 쉬어가도 돼요
아무 생각하지 말아요
Yeah So don't
Don't stop this healing
Now dive in dive in dive in dive in
ooh hoo
쉼이란 바다에 몸을 던져
푹 쉬어도 돼요
Ooh ooh ooh ooh ooh
Our healing healing
아무도 뭐라 못해요
Don't stop this healing
Now dive in dive in dive in
이 시간 모두 다 니꺼니까
그 어떤 걱정도 마요
이건 다 healing healing
don't stop it
Don't stop this healing
Uh 잠시 꺼두고
매일 귀찮게 하는 폰
허전하다면 내 손을 잡고
서로 눈동자 속에 비친
모습 힘들 때면 꺼내 볼 수 있길
Uh 지금이 타이밍 억압 벗고
이 분위기로 다이빙 다이빙
지금 기분 따라
입꼬리도 올라가 go up
모든걸 잠시나마 놓아둬도
Ooh ooh ooh ooh ooh
괜찮아요 뭐 어떻게든 되겠죠
식었던 내 맘은 너로 가득 차
이제 함께 편한 생각만 해
더 이상의 걱정은 없게
잠시 쉬어가도 돼요
아무 생각하지 말아요
Yeah So don't
Don't stop this healing
Now dive in dive in dive in dive in
Ooh hoo
쉼이란 바다에 몸을 던져
푹 쉬어도 돼요
Ooh ooh ooh ooh ooh
Our healing healing
너 오늘 하루도 수고 많았어
지친 하루 끝에
수고했단 작은 그 한마딘
훗날에 기억될 오늘의 그림 같은
지금의 추억이 될 거예요
So don't don't stop
this healing Baby
잠깐 힘들면 쉬어도 돼
So don't don't stop
this healing Baby
Right now right now ohh baby
So don't don't stop
this healing Baby
잠깐 힘들면 쉬어도 돼
So don't don't stop
this healing Baby
Right now right now ohh baby",하루의 피로와 지침에 대한 고마움과 휴식을 취하며 즐겁게 지내는 메시지를 담은 노래,감정,개인
Dream (Feat. XIA of JYJ),싸이,"내게 있을 땐 옆에 있는 게
그게 그렇게
소중함을 소중한지 잊는다
결국 잃는다
결국 실은 나
그렇고 그저 그런 인간이었다
감사한 걸 감사할 줄 모르는
간사한 남사스러운 사람
행복 찾아 왜 먼 산만 바라봤을까
보이는 그대로 믿기 싫어서
믿고 싶은 대로 보기 시작해
외로워지는 지름길인데
괴로워지는 기름칠인데
꿈을 잃거나 이루거나
그 다음 날을 다시 살아가잖아
걱정하지마 이 모든 게 꿈이야
이 꿈에서 깨어날 때
그 모든 게 그대로 다 그 자리에
있었으면 해 여전했으면 해
그때는 영원했으면 해
언젠가 우리 다시 만날 때
지난날처럼 다시 행복을 위해
노래 부르며 그 노래 들으며
인생이란 꿈에서 깨어날 때
믿기 어려운 일
받아들이기 어려운 현실
원래 혼자 왔다가 혼자 살다가
혼자 떠나가는 외로운 길
외로움이 굳은살이 되어
그만큼 내게 피와 살이 되어
담담해져 가 점점 변해 가
무덤덤해져 나
어른이 되어가
갈 사람은 간다
또 산 사람은 산다
신이 내게 주신 가장 잔인한 감정
그 익숙함에 눈물 말라간다
해가 지면 아쉬워하다
달이 뜨자마자 아름답구나
기쁘면 꿈이 아니길 바라는 나
슬프면 꿈이길 바라는 나
이 꿈에서 깨어날 때
그 모든 게 그대로 다 그 자리에
있었으면 해 여전했으면 해
그때는 영원했으면 해
언젠가 우리 다시 만날 때
지난날처럼 다시 행복을 위해
노래 부르며 그 노래 들으며
인생이란 꿈에서 깨어날 때
만남의 기쁨도 헤어짐의 슬픔도
긴 시간을 스쳐가는
짧은 순간인 것을
만남의 기쁨도 헤어짐의 슬픔도
긴 시간을 스쳐가는
짧은 순간인 것을","삶의 변화와 감정의 파도, 그리고 행복과 이별에 대한 내면의 고뇌를 담은 노래",감정,개인
오늘의 기분,CHEEZE (치즈),"이대로 가만히 있어도 될까
지루해 매일 나 책상에 앉아
할 일이 많아
이제는 내가 알게 뭐람
So now 뭐 어때
잠깐이면 돼
잠깐 딴짓만 할게
And I 오늘의 기분만큼만
웃어보면 어떨까요
예보에 오늘의 날씨는
구름 한 점 없이
맑으다 하던데
왜 머리 위 길을 잃은 먹구름들이
가득 드리워진 걸까요
아무도 몰라요
오늘의 기분은
가끔은 시무룩 그런 날도 있지
설레는 바람 방향을 따라가
사뿐히 걷자 이제는 내가 알게 뭐람
So now 어디든
잠깐이면 돼 잠깐 딴짓만 할게
And I 오늘의 기분만큼만
웃어보면 어떨까요
예보에 오늘의 날씨는
구름 한 점 없이 맑으다 하던데
왜 머리 위 길을 잃은 먹구름들이
가득 드리워진 걸까요
아무도 몰라요
오늘의 기분은
까맣게 칠해진 마음들에 별이 뜰 때까지
떠나볼까 기분이 이끄는 대로
예보에 오늘의 날씨는 구름 한 점 없이
맑으다 하던데
왜 머리 위 길을 잃은 먹구름들이
가득 드리워진 걸까요
예보에 내일의 날씨는 아무도 모르게
맑을까 하던데
왜 머리 위
싱그러운 초록빛 들이
나를 들뜨게 만들까요
아무도 몰라요
오늘의 기분은","일상의 지루함에 도전하며, 당신의 기분대로 살아가자는 노래",감정,개인
SO WHAT,STAYC(스테이씨),"묻지마 묻지마 My life
지금 걱정은 다 내일 해
다 귀찮아 피곤해 왜
이렇게 사는 게 어때
앞에서 뒤에서 Hate me
신경 안 쓸 거야 yeah yeah yeah
어쩜 난 쿨 하지가
못해 뭐 어때 woo
괜찮아 니가 날 볼 때
답답해 이해 안된 대도 OK
Wake up wake up wake up
바뀔 맘 없어 꿈 깨
woo
Just like sunday morning
woo
날 좀 내버려 둘래
생각이 너무 많아도 몸이 무거워
그럴 때는 비워 버려 SO WHAT
쉽게 생각해 SO WHAT
이래도 될까 싶을 정도로 비워 둬
You know 때론
때론 천천히 가도 돼
이렇게 말해봐 SO WHAT
늦게 자도 돼 늦게까지 자도 돼
씻지 않는 건 별로 싫지 않은 걸
조금 살이 쪄도 걱정하지 마마
몸무게는 그저 숫자일 뿐 야야
Wait wait wait wait
언젠가 더 크게 부담이 될 거라고
It’s OK It’s OK
걱정마 괜찮아
나중 일 나중에
고민해도 되잖아
woo
Just like sunday morning
woo
날 좀 내버려 둘래
생각이 너무 많아도 몸이 무거워
그럴 때는 비워 버려 SO WHAT
쉽게 생각해 SO WHAT
이래도 될까 싶을 정도로 비워 둬
You know 때론 때론 천천히 가도 돼
이렇게 말해봐 SO WHAT
I think we need to just take it slow
복잡하게 생각하지 말고 Let it go
I think we need
to just take it slow
틀린 게 아니고 다른 것뿐
You should know
S.T.A.Y.C GO
생각이 너무 많아도 몸이 무거워
그럴 때는 비워 버려 SO WHAT
쉽게 생각해 SO WHAT
이래도 될까 싶을 정도로 비워 둬
You know 때론
때론 천천히 가도 돼
이렇게 말해봐 SO WHAT
생각이 너무 많아도 몸이 무거워
그럴 때는 비워 버려 SO WHAT
쉽게 생각해 SO WHAT
이래도 될까 싶을 정도로 비워 둬
You know 때론
때론 천천히 가도 돼
이렇게 말해봐 SO WHAT","걱정과 피곤함에 대해 묻지 말고 내버려두며, 쉽게 생각하고 긍정적으로 살아가자는 노래",감정,개인
Focus on me,차은우,"나에게 집중해
나에게 귀 기울여봐
세상은 너에게 차갑고 시린
아픔을 줄지도 몰라
하루 살아내기가 힘겨울지도 몰라
그땐 내 말을 기억해
넌 혼자가 아냐
나에게 집중해
나에게 귀 기울여봐
세상은 너를 몰라도
결국 너는 환하게 빛날 테니
너의 길을 가렴 절대 초라해지지 마
항상 니 곁에 있을게
나를 잊지 마
Focus on me
Oh Hear my voice
Lean on my shoulder
내게 기대도 돼
잊지 마 널 응원할 한사람
Focus on me
Oh Here I am
I will always be your side
작은 내 소리 들린다면
더 큰 걸음으로 나아가
Focus on me
Oh Hear my voice
Lean on my shoulder
내게 기대도 돼
잊지 마 널 응원할 한사람
Focus on me
Oh Here I am
I will always be your side
작은 내 소리 들린다면
더 큰 걸음으로 나아가
Focus on me
Oh Hear my voice
오 오 오
작은 내 소리 들린다면
더 큰 걸음으로 나아가","다양한 어려움 속에서도 희망을 찾고, 나아가는 의지를 강조하는 노래",감정,개인
내일의 내게 무엇을 말해야 하나,택우,"눈에 보이는 대로
모두 믿었더니
나를 바보라 하네
사랑이 가득한
세상을 원했더니
철이 없다고 하네
아름다운 것들엔 속셈이 있고
돈이 아닌 것들은 의미가 없네
소중했던 벗들은 소홀해지고
내게 남은 것들은 무엇이 있나
추억 가득한 것들을
사랑했더니
발전이 없다 하네
아주 소박한 것들에
행복했더니
꿈이 작다고 하네
다 모르는 척
나 혼자 살아가면
모두 날 외면하려나
그래도 외로운 건
견디기 힘드니까
그냥 살아가려나
아아아
아주 멀리 달아난다
그들은 망설임도 없지
나는 어디로 가야 할까
무엇을 말해줘야 할지
눈에 보이는 대로
모두 믿었더니
나를 바보라 하네
사랑이 가득한
세상을 원했더니
철이 없다고 하네
못 이기는 척
고개를 끄덕이면
모두 편해지려나
결국 이럴 거면
왜 그리 기를 쓰며
동심을 지켜주었나",외부의 평가에 상처 받아가며 자아를 찾아가는 과정을 담은 노래,감정,개인
